"Source Name","Program Name",Date/Time,"Data Source"
software,"Update for Windows XP (KB967715) v.1","2009-11-20 13:49:29 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB960225) v.1","2009-11-20 13:49:18 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB958687) v.1","2009-11-20 13:49:13 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB956803) v.1","2009-11-20 13:49:08 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Media Player (KB952069)","2009-11-20 13:49:03 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB956802) v.1","2009-11-20 13:48:57 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB957097) v.1","2009-11-20 13:48:52 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB954459) v.1","2009-11-20 13:48:46 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB955069) v.1","2009-11-20 13:48:41 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB958644) v.1","2009-11-20 13:48:35 UTC",jo-2009-11-24.E01
software,"Hotfix for Windows XP (KB952287) v.1","2009-11-20 13:48:30 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB950974) v.1","2009-11-20 13:48:25 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB952954) v.1","2009-11-20 13:48:19 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB946648) v.1","2009-11-20 13:48:15 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB951066) v.1","2009-11-20 13:48:10 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB951748) v.1","2009-11-20 13:48:04 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB951376-v2) v.2","2009-11-20 13:47:51 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB950762) v.1","2009-11-20 13:47:44 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB923789)","2009-11-20 13:47:40 UTC",jo-2009-11-24.E01
software,"Update for Windows XP (KB898461) v.1","2009-11-20 13:38:57 UTC",jo-2009-11-24.E01
software,"Windows Genuine Advantage Validation Tool (KB892130) v.1.7.0069.2","2009-11-20 13:38:51 UTC",jo-2009-11-24.E01
software,"Windows Genuine Advantage Validation Tool (KB892130)","2009-11-20 13:38:49 UTC",jo-2009-11-24.E01
software,"Intel(R) Extreme Graphics Driver","2009-11-20 13:36:35 UTC",jo-2009-11-24.E01
software,"Intel(R) PRO Ethernet Adapter and Software","2009-11-20 13:34:11 UTC",jo-2009-11-24.E01
software,DXM_Runtime,"2009-11-20 12:51:48 UTC",jo-2009-11-24.E01
software,Branding,"2009-11-20 12:51:25 UTC",jo-2009-11-24.E01
software,PCHealth,"2009-11-20 12:50:09 UTC",jo-2009-11-24.E01
software,AddressBook,"2009-11-20 12:50:02 UTC",jo-2009-11-24.E01
software,DirectAnimation,"2009-11-20 12:50:02 UTC",jo-2009-11-24.E01
software,ICW,"2009-11-20 12:50:02 UTC",jo-2009-11-24.E01
software,NetMeeting,"2009-11-20 12:50:02 UTC",jo-2009-11-24.E01
software,OutlookExpress,"2009-11-20 12:50:02 UTC",jo-2009-11-24.E01
software,DirectDrawEx,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,Fontcore,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,IE40,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,IE4Data,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,IE5BAKEX,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,IEData,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,MobileOptionPack,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,SchedulingAgent,"2009-11-20 12:49:57 UTC",jo-2009-11-24.E01
software,"Connection Manager","2009-11-20 12:46:32 UTC",jo-2009-11-24.E01
